current_ratio,debt_to_equity,net_profit_margin,company_age,target
1.017883321,33.36339882,0.114012342,5.0,0
1.054334896,-209.9751193,0.116991861,5.0,0
0.998953437,-57.31037044,0.027242905,5.0,0
1.178048927,-88.42944264,0.053892223,5.0,0
1.703191489,1.150113428,0.136937731,5.0,0
1.519112084,1.270074165,-0.024864337,5.0,0
1.404213298,1.253606765,0.071622599,5.0,0
1.46656114,1.173738961,0.096400073,5.0,0
0.593490122,3.551190321,0.061589062,5.0,0
2.711762033,0.804202979,0.280838546,5.0,0
2.501343816,1.200504477,0.130294935,5.0,0
2.504021918,0.919985744,0.254212108,5.0,0
2.602912384,0.827388756,0.230294481,5.0,0
2.352881716,1.690306541,0.196882325,5.0,0
1.273496598,4.011055645,0.025325629,5.0,1
1.09152604,3.878733917,0.063581349,5.0,0
1.305854643,2.904147206,0.034395568,5.0,0
2.077002255,3.352886439,0.010438157,5.0,1
1.90751074,2.286831759,0.029578881,5.0,1
1.695364824,1.251966234,0.028982064,5.0,1
1.597623941,1.657369732,0.031723514,5.0,1
1.826919826,1.744546357,0.0134104,5.0,1
1.736918505,1.297488081,0.059182457,5.0,1
0.238829186,0.723060583,0.169564952,5.0,0
2.410910518,1.174342401,0.062797672,5.0,0
2.141806143,1.920736108,0.091519032,5.0,0
2.649546279,1.187690335,0.087535745,5.0,0
2.250862267,2.474351145,0.136734382,5.0,0
2.278796333,1.156046446,0.042069168,5.0,1
2.973647712,1.338539274,0.059186395,5.0,0
2.628032345,1.366604478,0.071517524,5.0,0
2.7,1.229617304,0.05952202,5.0,0
2.269978402,1.527091255,0.066891783,5.0,0
2.529474812,1.294624538,0.065523576,5.0,0
1.457853427,3.111948489,0.00419434,5.0,1
1.358636364,2.475602359,0.006529664,5.0,1
1.413068647,4.847075285,0.002602145,5.0,1
1.462121212,3.429517502,0.70385208,5.0,1
1.71069869,5.153757225,-0.03928619,5.0,1
2.082685905,2.1390625,0.092754402,5.0,1
1.604367373,2.80489671,0.009941593,5.0,1
0.692330259,2.604703736,0.081404464,5.0,0
0.570932764,2.365814196,0.100165745,5.0,0
0.996989825,2.702907428,0.069662921,5.0,0
0.609720687,2.736926035,0.082837801,5.0,0
0.501855742,2.298791256,0.124523696,5.0,0
